(month 1-9/2007; 1-5/2008)
<OPEN>,<HIGH>,<LOW>,<CLOSE_PREVIOUSDAY>,<VOL>,<GOLD>,<CLOSE>
632.0800,654.4700,632.0800,638.7100,12456980,983.2500,643.9000
655.1800,655.1800,644.8900,643.9000,9219250,995.2500,647.6000
640.0400,643.9000,640.0400,647.6000,10645156,1002.7500,643.8000
623.2300,624.3100,615.7100,643.8000,11537420,1002.4000,615.7100
588.6300,589.5700,588.1600,615.7100,8303405,982.1500,588.2600
584.5300,592.1800,573.4500,588.2600,17641540,943.6000,573.4500
568.3200,576.4100,564.8200,573.4500,10027530,908.4800,564.8200
553.0500,553.6900,545.6800,564.8200,11754390,917.4400,545.6800
524.7200,525.2400,521.0700,545.6800,8780023,915.1500,521.0700
497.2500,497.3900,496.6400,521.0700,7471790,938.2000,496.6400
495.0200,504.7800,495.0200,496.6400,18619324,954.1500,504.6700
507.7900,508.7900,507.7900,504.6700,6180310,947.6500,508.7500
512.3000,512.7000,512.3000,508.7500,3391490,931.2000,512.7000
516.5900,516.8500,516.5800,512.7000,2704480,916.1000,516.8500
520.5300,520.9900,520.5300,516.8500,1692190,882.3000,520.9900
524.3800,525.1100,524.3800,525.1100,1165210,904.2800,525.1100
528.4600,529.2300,528.4600,529.2300,1924760,903.2800,529.2300
531.5600,533.0000,531.5600,529.2300,1529280,913.7000,533.0000
541.4200,542.3300,541.3700,533.0000,2117800,919.5500,542.3300
550.6800,550.6800,544.3000,542.3300,24619260,914.6300,548.5600
552.4200,552.4200,550.0300,548.5600,10585750,933.8000,552.0500
549.1700,549.1700,543.9900,552.0500,8395560,928.6300,545.7300
537.7100,539.0100,536.9000,545.7300,8643150,925.0000,539.0100
530.9000,531.7300,530.0400,539.0100,6037610,944.4000,531.3800
523.5200,537.5800,523.4500,531.3800,12340700,938.5500,537.5800
540.0800,540.0800,534.5100,537.5800,9982120,916.4500,537.3100
534.6200,534.9200,532.6900,537.3100,5729840,916.7800,534.9200
530.2600,530.6200,528.6000,534.9200,4736440,915.7500,530.6200
523.6000,523.6000,521.8200,530.6200,5357310,904.1800,521.9500
515.1400,518.4200,515.0800,521.9500,6561260,885.9500,518.4200
514.3700,515.8800,513.9300,518.4200,7188240,886.0500,515.8800
514.7900,519.6200,514.4400,515.8800,8741070,893.2000,519.4200
523.8600,524.0700,520.4100,519.4200,9351480,893.2000,522.3600
523.2900,523.7500,521.2800,522.3600,5162790,874.1300,521.2800
518.2100,518.3500,516.2100,521.2800,6059655,876.1800,518.3500
514.6600,515.2600,511.0700,518.3500,5999870,868.7000,515.2600
507.3100,507.9400,506.4300,515.2600,4545620,881.6800,507.9400
499.5900,500.3300,499.5900,507.9400,3461750,884.5800,500.3300
492.9500,493.2700,492.0400,500.3300,2512662,882.3500,492.0400
484.7700,484.7700,483.9200,492.0400,1316390,866.9500,483.9200
477.2900,477.2900,475.5000,483.9200,1907330,864.1100,475.5000
468.5600,468.5600,466.6700,475.5000,2088880,881.9000,466.6700
459.6200,461.9600,459.3700,466.6700,7831810,902.4000,460.0400
453.9300,455.6700,453.9300,460.0400,5030820,905.1400,455.6700
450.0300,450.0300,449.2400,455.6700,4961812,919.2800,449.2400
442.3800,442.4100,441.5300,449.2400,4856640,932.5000,441.7500
435.6400,435.7300,434.7500,441.7500,2811850,921.5000,434.7500
427.8400,428.2000,427.5300,434.7500,3140160,924.7500,428.0500
422.4800,422.4800,420.5100,428.0500,1486410,928.8800,420.5100
413.9900,414.1400,413.9900,420.5100,2664330,886.4000,414.1000
408.2000,408.2000,407.9400,414.1000,1075090,891.1300,407.9400
402.3900,402.3900,401.1000,407.9400,1036240,880.1300,401.2000
395.5400,395.6600,394.6800,401.2000,1261860,878.9000,395.6600
390.8600,390.8600,390.0600,395.6600,1255200,877.1500,390.0800
385.1800,385.1800,384.0500,390.0800,1535360,902.1000,384.2400
380.2300,380.2300,379.1200,384.2400,870500,892.5300,379.1200
374.3300,374.4600,373.0000,379.1200,1148220,866.8000,373.0000
368.0600,371.2900,368.0600,373.0000,10250660,880.2500,370.4500
368.7000,370.5500,368.1000,370.4500,6190740,868.1300,370.5500
370.8300,373.5700,370.8300,370.5500,9861360,871.1800,372.6800
376.2300,378.6800,376.2300,372.6800,11087640,882.0300,378.2000
384.1700,384.7200,384.1700,378.2000,7082560,882.2000,384.7100
389.0100,389.0100,381.0300,384.7100,21154850,894.4500,382.0700
372.8000,373.2700,372.5300,382.0700,5080040,897.6800,373.2700
364.7100,366.0400,364.3200,373.2700,6878720,901.8000,366.0200
367.0800,369.6900,367.0000,366.0200,9257330,883.4800,368.9500
373.0000,375.9700,372.8900,368.9500,6483900,889.3800,375.9700
382.3600,383.7800,382.1300,375.9700,6571390,885.9500,383.7800
392.6900,392.6900,382.7500,383.7800,13494960,916.7800,386.4800
385.2100,392.7400,385.2100,386.4800,7734100,927.5500,392.6100
395.2700,399.4000,394.9700,392.6100,6897900,925.3500,399.4000
406.4600,409.8300,406.4600,399.4000,8021730,939.5500,409.6100
417.7800,420.0400,417.2200,409.6100,12976090,945.2500,419.2900
428.8000,430.1300,428.5100,419.2900,8282900,934.1800,430.0500
441.4300,441.4300,439.6800,430.0500,9995160,934.1800,439.6800
448.4900,448.4900,432.3200,439.6800,24016960,925.7800,435.8900
427.3500,436.7100,426.4900,435.8900,14709440,919.6300,436.7100
439.2100,440.7600,438.7200,436.7100,14047760,928.5300,439.5500
444.2600,446.6000,444.0000,439.5500,12280500,947.1300,446.6000
453.7800,456.6400,453.7800,446.6000,11435280,963.8000,456.6400
466.3100,467.9400,466.1100,456.6400,7858730,972.5500,467.9400
479.6200,479.8000,478.7000,467.9400,9657160,977.2300,479.8000
486.7400,486.7400,476.5200,479.8000,33479690,959.9000,486.5300
492.6100,493.1700,489.8300,486.5300,12929800,957.6000,489.8300
480.0900,486.9800,480.0900,489.8300,25846350,954.5700,483.0500
472.9500,472.9500,470.1200,483.0500,14105170,965.5800,470.8200
461.3100,461.3100,457.8800,470.8200,1647240,946.0800,457.8800
451.1700,451.1700,445.5900,457.8800,1644530,920.4300,445.5900
435.7300,440.9000,434.0000,445.5900,22557110,927.9000,435.7900
428.0400,429.4600,427.4000,435.7900,8888450,929.2800,429.4600
426.2300,434.6400,426.2300,429.4600,13393330,930.4800,434.6400
443.4500,444.7800,443.4500,434.6400,13066180,918.5800,444.4000
448.3900,448.3900,447.1000,444.4000,19066860,906.0400,448.2700
447.4200,451.3600,444.9400,448.2700,12261080,913.7000,451.3600
447.3700,449.8600,446.4800,451.3600,11136740,910.3500,447.1100
439.4900,440.5200,438.1700,447.1100,11514420,894.5500,439.4100
429.7800,430.2600,428.6300,439.4100,9914390,873.9700,430.2600
431.4300,437.4500,431.4300,430.2600,15685970,879.8600,437.4500
446.8500,446.8700,438.8300,437.4500,16138900,872.6800,438.8300
441.7900,444.2900,438.8200,438.8300,13855730,863.9800,444.2800
